time,temperature,solar_radiation
987,-0.9,0.0
988,-1.0,0.0
989,-1.2,0.0
990,-1.4,0.0
991,-1.3,0.1
992,-1.1,17.1
993,-0.4,109.3
994,0.4,204.1
995,1.1,198.8
996,1.7,161.5
997,2.2,162.6
998,2.7,107.2
999,2.4,40.9
1000,0.5,11.7
1001,-0.4,1.1
1002,-0.5,0.0
1003,-0.4,0.0
1004,-0.5,0.0
1005,-0.5,0.0
1006,-0.6,0.0
1007,-0.6,0.0
1008,-0.8,0.0
1009,-1.2,0.0
1010,-1.2,0.0
1011,-1.2,0.0
1012,-1.0,0.0
1013,-1.2,0.0
1014,-1.1,0.0
1015,-1.0,0.1
1016,-0.9,13.3
1017,-0.4,80.7
1018,0.4,104.9
1019,1.2,214.9
1020,2.2,383.8
1021,2.8,376.9
1022,2.8,306.4
1023,2.4,134.0
1024,2.1,57.0
1025,1.7,15.1
1026,1.4,0.0
1027,1.2,0.0
1028,1.0,0.0
1029,1.1,0.0
1030,1.0,0.0
1031,0.7,0.0
1032,0.7,0.0
1033,0.5,0.0
1034,0.3,0.0
1035,0.3,0.0
1036,0.2,0.0
1037,0.2,0.0
1038,0.1,0.0
1039,-0.1,0.6
1040,-0.2,26.8
1041,0.1,99.7
1042,0.5,241.6
1043,2.3,542.2
1044,3.2,585.4
1045,3.6,505.4
1046,4.1,418.0
1047,3.7,276.9
1048,2.1,124.0
1049,0.5,16.0
1050,-0.4,0.0
1051,-0.7,0.0
1052,-1.0,0.0
1053,-1.7,0.0
1054,-2.1,0.0
1055,-1.8,0.0
1056,-1.8,0.0
1057,-2.4,0.0
1058,-2.3,0.0
1059,-2.4,0.0
1060,-3.3,0.0
1061,-4.2,0.0
1062,-4.7,0.0
1063,-5.0,4.7
1064,-4.6,77.5
1065,-3.3,321.2
1066,-2.0,460.7
1067,-0.7,448.0
1068,0.5,425.2
1069,1.0,299.1
1070,1.4,180.1
1071,1.7,119.5
1072,1.8,82.4
1073,1.7,16.2
1074,1.2,0.0
1075,1.0,0.0
1076,0.9,0.0
1077,0.9,0.0
1078,0.8,0.0
1079,0.9,0.0
1080,0.6,0.0
1081,-0.0,0.0
1082,0.1,0.1
1083,0.1,0.0
1084,-0.3,0.0
1085,-0.7,0.0
1086,-1.1,0.0
1087,-1.3,1.7
1088,-1.0,22.3
1089,-0.4,58.4
1090,0.1,94.9
1091,0.6,99.9
1092,1.0,113.3
1093,2.1,214.0
1094,3.4,286.7
1095,3.8,165.6
1096,4.1,82.8
1097,3.6,19.2
1098,3.1,0.0
1099,2.3,0.0
1100,2.0,0.0
1101,1.9,0.0
1102,2.0,0.0
1103,2.0,0.0
1104,2.1,0.0
1105,2.2,0.0
1106,2.1,0.0
1107,2.1,0.0
1108,1.9,0.0
1109,1.6,0.0
1110,1.3,0.0
1111,1.1,3.9
1112,1.2,125.9
1113,2.6,391.4
1114,3.5,483.2
1115,4.7,578.0
1116,5.6,589.0
1117,6.9,538.1
1118,7.7,449.7
1119,7.8,309.4
1120,7.2,140.5
1121,4.5,19.1
1122,2.8,0.0
